,time,VCH1,VCH2
0,-0.016,2.48,4.5600000000000005
1,-0.015984,2.48,4.5200000000000005
2,-0.015968,2.48,4.5600000000000005
3,-0.015952,2.48,4.5600000000000005
4,-0.015936,2.48,4.48
5,-0.01592,2.48,4.5600000000000005
6,-0.015904,2.48,4.5600000000000005
7,-0.015888,2.48,4.48
8,-0.015872,2.48,4.5600000000000005
9,-0.015856000000000002,2.48,4.5200000000000005
10,-0.01584,2.48,4.48
11,-0.015824,2.48,4.5200000000000005
12,-0.015808,2.48,4.5200000000000005
13,-0.015792,2.44,4.48
14,-0.015776000000000002,2.44,4.5200000000000005
15,-0.01576,2.44,4.5200000000000005
16,-0.015744,2.44,4.48
17,-0.015728,2.44,4.5200000000000005
18,-0.015712,2.44,4.5200000000000005
19,-0.015696,2.44,4.44
20,-0.01568,2.44,4.48
21,-0.015664,2.44,4.48
22,-0.015648,2.4,4.44
23,-0.015632,2.4,4.48
24,-0.015616,2.4,4.44
25,-0.015600000000000001,2.4,4.4
26,-0.015584,2.4,4.44
27,-0.015568,2.36,4.44
28,-0.015552,2.36,4.4
29,-0.015536000000000001,2.36,4.4
30,-0.01552,2.36,4.4
31,-0.015504,2.36,4.4
32,-0.015488,2.32,4.36
33,-0.015472,2.32,4.4
34,-0.015456000000000001,2.32,4.4
35,-0.01544,2.32,4.32
36,-0.015424,2.32,4.4
37,-0.015408,2.2800000000000002,4.36
38,-0.015392000000000001,2.2800000000000002,4.32
39,-0.015376,2.2800000000000002,4.32
40,-0.01536,2.24,4.32
41,-0.015344,2.24,4.28
42,-0.015328,2.24,4.28
43,-0.015312000000000001,2.24,4.28
44,-0.015296,2.2,4.24
45,-0.01528,2.2,4.28
46,-0.015264,2.2,4.28
47,-0.015248000000000001,2.16,4.2
48,-0.015232,2.16,4.2
49,-0.015216,2.16,4.24
50,-0.0152,2.12,4.16
51,-0.015184,2.12,4.2
52,-0.015168000000000001,2.12,4.2
53,-0.015152,2.08,4.12
54,-0.015136,2.12,4.16
55,-0.01512,2.08,4.16
56,-0.015104000000000001,2.04,4.08
57,-0.015088,2.04,4.12
58,-0.015072,2.04,4.12
59,-0.015056,2.04,4.08
60,-0.015040000000000001,2.0,4.04
61,-0.015024000000000001,2.0,4.04
62,-0.015008,1.96,4.04
63,-0.014992,1.96,4.0
64,-0.014976,1.96,4.0
65,-0.014960000000000001,1.92,4.0
66,-0.014944,1.92,3.92
67,-0.014928,1.8800000000000001,3.96
68,-0.014912,1.8800000000000001,3.96
69,-0.014896,1.8800000000000001,3.88
70,-0.01488,1.84,3.92
71,-0.014864,1.84,3.88
72,-0.014848,1.8,3.84
73,-0.014832,1.8,3.84
74,-0.014816000000000001,1.76,3.84
75,-0.0148,1.76,3.8000000000000003
76,-0.014784,1.76,3.8000000000000003
77,-0.014768,1.72,3.7600000000000002
78,-0.014752000000000001,1.72,3.72
79,-0.014736,1.68,3.72
80,-0.01472,1.6400000000000001,3.72
81,-0.014704,1.6400000000000001,3.64
82,-0.014688,1.6,3.68
83,-0.014672000000000001,1.6,3.64
84,-0.014656,1.56,3.6
85,-0.01464,1.56,3.64
86,-0.014624,1.56,3.6
87,-0.014608,1.52,3.56
88,-0.014592,1.48,3.56
89,-0.014576,1.48,3.56
90,-0.01456,1.44,3.52
91,-0.014544000000000001,1.44,3.48
92,-0.014528000000000001,1.4000000000000001,3.48
93,-0.014512,1.4000000000000001,3.48
94,-0.014496,1.36,3.44
95,-0.01448,1.36,3.44
96,-0.014464000000000001,1.32,3.4
97,-0.014448,1.32,3.4
98,-0.014432,1.28,3.36
99,-0.014416,1.28,3.36
100,-0.0144,1.24,3.3200000000000003
101,-0.014384000000000001,1.24,3.2800000000000002
102,-0.014368,1.2,3.2800000000000002
103,-0.014352,1.16,3.24
104,-0.014336,1.16,3.24
105,-0.014320000000000001,1.12,3.2
106,-0.014304,1.12,3.2
107,-0.014288,1.08,3.16
108,-0.014272,1.08,3.16
109,-0.014256000000000001,1.04,3.12
110,-0.014240000000000001,1.0,3.08
111,-0.014224,1.0,3.08
112,-0.014208,0.96,3.04
113,-0.014192,0.96,3.0
114,-0.014176000000000001,0.92,3.0
115,-0.01416,0.92,2.96
116,-0.014144,0.88,2.96
117,-0.014128,0.84,2.92
118,-0.014112,0.84,2.92
119,-0.014096000000000001,0.8,2.88
120,-0.01408,0.8,2.88
121,-0.014064,0.76,2.84
122,-0.014048,0.76,2.8000000000000003
123,-0.014032000000000001,0.72,2.8000000000000003
124,-0.014016,0.68,2.7600000000000002
125,-0.014,0.64,2.72
126,-0.013984,0.64,2.72
127,-0.013968000000000001,0.6,2.68
128,-0.013952,0.6,2.68
129,-0.013936,0.56,2.64
130,-0.01392,0.52,2.6
131,-0.013904,0.52,2.6
132,-0.013888000000000001,0.48,2.56
133,-0.013872,0.48,2.56
134,-0.013856,0.44,2.52
135,-0.01384,0.4,2.48
136,-0.013824,0.4,2.48
137,-0.013808,0.36,2.44
138,-0.013792,0.32,2.4
139,-0.013776,0.32,2.4
140,-0.013760000000000001,0.28,2.36
141,-0.013744000000000001,0.28,2.32
142,-0.013728,0.24,2.32
143,-0.013712,0.24,2.2800000000000002
144,-0.013696,0.2,2.24
145,-0.013680000000000001,0.16,2.24
146,-0.013664,0.16,2.2
147,-0.013648,0.12,2.16
148,-0.013632,0.08,2.16
149,-0.013616,0.08,2.12
150,-0.013600000000000001,0.04,2.12
151,-0.013584,0.04,2.08
152,-0.013568,0.0,2.04
153,-0.013552,-0.04,2.04
154,-0.013536,-0.04,2.0
155,-0.01352,-0.08,2.0
156,-0.013504,-0.12,1.96
157,-0.013488,-0.12,1.92
158,-0.013472000000000001,-0.16,1.92
159,-0.013456000000000001,-0.16,1.8800000000000001
160,-0.01344,-0.2,1.84
161,-0.013424,-0.24,1.84
162,-0.013408,-0.24,1.8
163,-0.013392000000000001,-0.28,1.76
164,-0.013376,-0.32,1.76
165,-0.01336,-0.32,1.72
166,-0.013344,-0.36,1.68
167,-0.013328,-0.36,1.68
168,-0.013312000000000001,-0.4,1.6400000000000001
169,-0.013296,-0.44,1.6400000000000001
170,-0.01328,-0.44,1.6
171,-0.013264000000000001,-0.48,1.56
172,-0.013248000000000001,-0.48,1.56
173,-0.013232,-0.52,1.52
174,-0.013216,-0.52,1.48
175,-0.0132,-0.56,1.48
176,-0.013184000000000001,-0.6,1.44
177,-0.013168000000000001,-0.64,1.44
178,-0.013152,-0.64,1.4000000000000001
179,-0.013136,-0.64,1.36
180,-0.01312,-0.68,1.36
181,-0.013104000000000001,-0.72,1.32
