,time,VCH1,VCH2
0,-0.15664,0.88,0.88
1,-0.15648,0.88,0.88
2,-0.15632000000000001,0.88,0.88
3,-0.15616,0.88,0.96
4,-0.156,0.96,0.96
5,-0.15584,0.96,0.96
6,-0.15568,0.96,0.96
7,-0.15552,0.96,0.96
8,-0.15536,0.96,0.96
9,-0.1552,1.04,1.04
10,-0.15504,1.04,1.04
11,-0.15488,1.04,1.04
12,-0.15472,1.04,1.12
13,-0.15456,1.12,1.12
14,-0.1544,1.12,1.12
15,-0.15424,1.12,1.12
16,-0.15408,1.2,1.12
17,-0.15392,1.2,1.2
18,-0.15376,1.2,1.2
19,-0.15360000000000001,1.2,1.2
20,-0.15344,1.28,1.2
21,-0.15328,1.28,1.28
22,-0.15312,1.28,1.28
23,-0.15296,1.28,1.28
24,-0.1528,1.28,1.28
25,-0.15264,1.36,1.28
26,-0.15248,1.36,1.36
27,-0.15232,1.36,1.36
28,-0.15216,1.44,1.36
29,-0.152,1.44,1.44
30,-0.15184,1.44,1.44
31,-0.15168,1.44,1.44
32,-0.15152,1.44,1.44
33,-0.15136,1.52,1.52
34,-0.1512,1.52,1.52
35,-0.15104,1.52,1.52
36,-0.15088000000000001,1.52,1.52
37,-0.15072,1.6,1.52
38,-0.15056,1.6,1.6
39,-0.1504,1.6,1.6
40,-0.15024,1.6,1.6
41,-0.15008,1.68,1.6
42,-0.14992,1.68,1.68
43,-0.14976,1.68,1.68
44,-0.1496,1.68,1.68
45,-0.14944,1.76,1.68
46,-0.14928,1.76,1.76
47,-0.14912,1.76,1.76
48,-0.14896,1.76,1.76
49,-0.1488,1.84,1.76
50,-0.14864,1.84,1.76
51,-0.14848,1.84,1.84
52,-0.14832,1.84,1.84
53,-0.14816000000000001,1.92,1.84
54,-0.148,1.92,1.92
55,-0.14784,1.92,1.92
56,-0.14768,1.92,1.92
57,-0.14752,2.0,1.92
58,-0.14736,2.0,1.92
59,-0.1472,2.0,2.0
60,-0.14704,2.0,2.0
61,-0.14688,2.0,2.0
62,-0.14672,2.08,2.0
63,-0.14656,2.08,2.08
64,-0.1464,2.08,2.08
65,-0.14624,2.08,2.08
66,-0.14608,2.16,2.08
67,-0.14592,2.16,2.16
68,-0.14576,2.16,2.16
69,-0.1456,2.16,2.16
70,-0.14544,2.24,2.16
71,-0.14528,2.24,2.24
72,-0.14512,2.24,2.24
73,-0.14496,2.24,2.24
74,-0.1448,2.32,2.24
75,-0.14464,2.32,2.24
76,-0.14448,2.32,2.32
77,-0.14432,2.32,2.32
78,-0.14416,2.4,2.32
79,-0.144,2.4,2.4
80,-0.14384,2.4,2.4
81,-0.14368,2.4,2.4
82,-0.14352,2.48,2.4
83,-0.14336,2.48,2.48
84,-0.1432,2.48,2.48
85,-0.14304,2.48,2.48
86,-0.14288,2.48,2.48
87,-0.14272,2.56,2.48
88,-0.14256,2.56,2.56
89,-0.1424,2.56,2.56
90,-0.14224,2.56,2.56
91,-0.14208,2.64,2.56
92,-0.14192,2.64,2.64
93,-0.14176,2.64,2.64
94,-0.1416,2.64,2.64
95,-0.14144,2.72,2.64
96,-0.14128,2.72,2.64
97,-0.14112,2.72,2.72
98,-0.14096,2.72,2.72
99,-0.1408,2.72,2.72
100,-0.14064,2.8000000000000003,2.72
101,-0.14048,2.8000000000000003,2.8000000000000003
102,-0.14032,2.8000000000000003,2.8000000000000003
103,-0.14016,2.88,2.8000000000000003
104,-0.14,2.88,2.8000000000000003
105,-0.13984,2.88,2.88
106,-0.13968,2.88,2.88
107,-0.13952,2.96,2.88
108,-0.13936,2.96,2.88
109,-0.1392,2.96,2.96
110,-0.13904,2.96,2.96
111,-0.13888,2.96,2.96
112,-0.13872,3.04,2.96
113,-0.13856,3.04,2.96
114,-0.1384,3.04,3.04
115,-0.13824,3.12,3.04
116,-0.13808,3.12,3.04
117,-0.13792,3.12,3.04
118,-0.13776,3.12,3.12
119,-0.1376,3.12,3.12
120,-0.13744,3.2,3.12
121,-0.13728,3.2,3.12
122,-0.13712,3.2,3.2
123,-0.13696,3.2800000000000002,3.2
124,-0.1368,3.2800000000000002,3.2
125,-0.13664,3.2800000000000002,3.2
126,-0.13648,3.2800000000000002,3.2
127,-0.13632,3.2800000000000002,3.2800000000000002
128,-0.13616,3.36,3.2800000000000002
129,-0.136,3.36,3.2800000000000002
130,-0.13584,3.36,3.2800000000000002
131,-0.13568,3.36,3.36
132,-0.13552,3.44,3.36
133,-0.13536,3.44,3.36
134,-0.1352,3.44,3.36
135,-0.13504,3.44,3.44
136,-0.13488,3.52,3.44
137,-0.13472,3.52,3.44
138,-0.13456,3.52,3.44
139,-0.1344,3.6,3.52
140,-0.13424,3.6,3.52
141,-0.13408,3.6,3.52
142,-0.13392,3.6,3.52
143,-0.13376,3.68,3.6
144,-0.1336,3.68,3.6
145,-0.13344,3.68,3.6
146,-0.13328,3.68,3.6
147,-0.13312,3.68,3.68
148,-0.13296,3.7600000000000002,3.68
