,time,VCH1,VCH2
0,-0.007712,6.08,0.112
1,-0.007704,5.92,0.112
2,-0.007696,5.84,0.112
3,-0.007688,5.76,0.114
4,-0.00768,5.68,0.112
5,-0.007672,5.5200000000000005,0.112
6,-0.007664,5.44,0.112
7,-0.0076560000000000005,5.28,0.112
8,-0.007648,5.2,0.112
9,-0.00764,5.12,0.112
10,-0.007632,4.96,0.112
11,-0.007624,4.88,0.114
12,-0.007616,4.8,0.112
13,-0.007608,4.64,0.112
14,-0.0076,4.5600000000000005,0.11
15,-0.007592,4.4,0.114
16,-0.0075840000000000005,4.32,0.112
17,-0.007576,4.24,0.112
18,-0.007568,4.08,0.112
19,-0.00756,4.0,0.112
20,-0.007552,3.84,0.114
21,-0.007544,3.7600000000000002,0.112
22,-0.007536,3.6,0.112
23,-0.007528,3.52,0.112
24,-0.00752,3.36,0.112
25,-0.0075120000000000004,3.2800000000000002,0.114
26,-0.007504,3.12,0.112
27,-0.007496,3.04,0.114
28,-0.007488,2.88,0.114
29,-0.0074800000000000005,2.8000000000000003,0.114
30,-0.007472,2.64,0.108
31,-0.007464,2.56,0.114
32,-0.007456,2.4,0.112
33,-0.007448,2.32,0.112
34,-0.00744,2.16,0.114
35,-0.007432,2.08,0.112
36,-0.007424,1.92,0.112
37,-0.007416,1.76,0.112
38,-0.0074080000000000005,1.68,0.112
39,-0.0074,1.52,0.112
40,-0.007392,1.44,0.112
41,-0.007384,1.28,0.112
42,-0.007376,1.2,0.114
43,-0.007368,1.04,0.112
44,-0.00736,0.88,0.112
45,-0.007352,0.8,0.112
46,-0.007344,0.64,0.108
47,-0.0073360000000000005,0.56,0.114
48,-0.007328,0.48,0.112
49,-0.00732,0.32,0.112
50,-0.007312,0.16,0.112
51,-0.007304,0.08,0.11
52,-0.007296,-0.08,0.112
53,-0.007288,-0.16,0.112
54,-0.00728,-0.32,0.112
55,-0.007272,-0.4,0.112
56,-0.0072640000000000005,-0.56,0.114
57,-0.007256,-0.64,0.112
58,-0.007248,-0.8,0.112
59,-0.00724,-0.88,0.11
60,-0.007232000000000001,-1.04,0.112
61,-0.007224,-1.12,0.11
62,-0.007216,-1.28,0.112
63,-0.007208,-1.36,0.112
64,-0.0072,-1.52,0.112
65,-0.0071920000000000005,-1.68,0.112
66,-0.007184,-1.76,0.11
67,-0.007176,-1.92,0.112
68,-0.007168,-2.0,0.11
69,-0.00716,-2.16,0.112
70,-0.007152,-2.24,0.114
71,-0.007144,-2.4,0.112
72,-0.007136,-2.48,0.112
73,-0.007128,-2.64,0.11
74,-0.0071200000000000005,-2.72,0.112
75,-0.007112,-2.88,0.112
76,-0.007104,-2.96,0.112
77,-0.007096,-3.12,0.106
78,-0.0070880000000000006,-3.2,0.11
79,-0.00708,-3.36,0.114
80,-0.007072,-3.44,0.11
81,-0.007064,-3.52,0.112
82,-0.007056,-3.68,0.11
83,-0.0070480000000000004,-3.7600000000000002,0.114
84,-0.00704,-3.92,0.112
85,-0.007032,-4.0,0.112
86,-0.007024,-4.16,0.112
87,-0.007016,-4.24,0.11
88,-0.007008,-4.4,0.112
89,-0.007,-4.48,0.112
90,-0.006992,-4.5600000000000005,0.11
91,-0.006984000000000001,-4.72,0.11
92,-0.006976,-4.8,0.106
93,-0.006968,-4.88,0.112
94,-0.00696,-5.04,0.112
95,-0.006952,-5.12,0.11
96,-0.0069440000000000005,-5.2,0.112
97,-0.006936,-5.36,0.11
98,-0.006928,-5.44,0.108
99,-0.00692,-5.6000000000000005,0.112
100,-0.006912,-5.68,0.112
101,-0.006904,-5.76,0.114
102,-0.006896,-5.84,0.11
103,-0.006888,-6.0,0.11
104,-0.00688,-6.08,0.112
105,-0.0068720000000000005,-6.16,0.112
106,-0.006864,-6.24,0.11
107,-0.006856,-6.4,0.11
108,-0.006848,-6.48,0.108
109,-0.006840000000000001,-6.5600000000000005,0.11
110,-0.006832,-6.640000000000001,0.112
111,-0.006824,-6.72,0.112
112,-0.006816,-6.88,0.11
113,-0.006808,-6.96,0.11
114,-0.0068000000000000005,-7.04,0.114
115,-0.006792,-7.12,0.112
116,-0.006784,-7.2,0.112
117,-0.006776,-7.28,0.11
118,-0.006768,-7.36,0.11
119,-0.00676,-7.44,0.114
120,-0.006752,-7.5200000000000005,0.112
121,-0.006744,-7.6000000000000005,0.112
122,-0.006736,-7.68,0.112
123,-0.0067280000000000005,-7.76,0.11
124,-0.00672,-7.84,0.106
125,-0.006712,-7.92,0.112
126,-0.006704,-8.0,0.112
127,-0.0066960000000000006,-8.08,0.11
128,-0.006688,-8.16,0.112
129,-0.00668,-8.24,0.112
130,-0.006672,-8.32,0.11
131,-0.006664,-8.4,0.114
132,-0.0066560000000000005,-8.48,0.112
133,-0.006648,-8.48,0.112
134,-0.00664,-8.56,0.112
135,-0.006632,-8.64,0.112
136,-0.006624,-8.72,0.112
137,-0.006616,-8.8,0.112
138,-0.006608,-8.8,0.112
139,-0.0066,-8.88,0.11
140,-0.006592000000000001,-8.96,0.112
141,-0.0065840000000000004,-9.040000000000001,0.112
142,-0.006576,-9.040000000000001,0.112
143,-0.006568,-9.120000000000001,0.112
144,-0.00656,-9.200000000000001,0.112
145,-0.0065520000000000005,-9.200000000000001,0.114
146,-0.006544,-9.28,0.112
147,-0.006536,-9.36,0.112
148,-0.006528,-9.36,0.112
149,-0.00652,-9.44,0.112
150,-0.006512,-9.44,0.112
151,-0.006504,-9.52,0.114
152,-0.006496,-9.52,0.112
153,-0.006488,-9.6,0.112
154,-0.00648,-9.6,0.114
155,-0.006472,-9.6,0.11
156,-0.006464,-9.68,0.112
157,-0.006456,-9.68,0.112
158,-0.006448000000000001,-9.76,0.112
159,-0.00644,-9.76,0.112
160,-0.006432,-9.76,0.112
161,-0.006424,-9.84,0.112
162,-0.006416,-9.84,0.114
163,-0.0064080000000000005,-9.84,0.112
164,-0.0064,-9.92,0.114
165,-0.006392,-9.92,0.112
166,-0.006384,-9.92,0.112
167,-0.006376,-9.92,0.114
168,-0.006368,-9.92,0.112
169,-0.00636,-10.0,0.112
170,-0.006352,-10.0,0.114
171,-0.006344000000000001,-10.0,0.11
172,-0.0063360000000000005,-10.0,0.114
173,-0.006328,-10.0,0.11
174,-0.00632,-10.0,0.112
175,-0.006312,-10.0,0.112
176,-0.006304000000000001,-10.0,0.112
177,-0.006296,-10.0,0.112
178,-0.006288,-10.08,0.112
179,-0.00628,-10.0,0.114
180,-0.006272,-10.0,0.112
181,-0.0062640000000000005,-10.0,0.112
182,-0.006256,-10.0,0.112
183,-0.006248,-10.0,0.112
184,-0.00624,-10.0,0.112
185,-0.006232,-10.0,0.112
186,-0.006224,-10.0,0.108
187,-0.006216,-10.0,0.114
