,time,VCH1,VCH2
0,-0.0029184,-3.36,0.0
1,-0.0029151999999999997,-3.2800000000000002,0.0
2,-0.0029119999999999997,-3.2800000000000002,0.0
3,-0.0029088,-3.2,0.0
4,-0.0029056,-3.2,0.0
5,-0.0029024,-3.12,0.0
6,-0.0028991999999999998,-3.04,0.0
7,-0.0028959999999999997,-3.04,-0.002
8,-0.0028927999999999996,-2.96,0.0
9,-0.0028896,-2.96,-0.002
10,-0.0028864,-2.88,0.0
11,-0.0028832,-2.8000000000000003,0.0
12,-0.0028799999999999997,-2.8000000000000003,-0.002
13,-0.0028767999999999997,-2.72,-0.002
14,-0.0028736,-2.72,-0.002
15,-0.0028704,-2.64,0.0
16,-0.0028672,-2.56,0.0
17,-0.002864,-2.56,0.0
18,-0.0028607999999999997,-2.48,0.0
19,-0.0028575999999999996,-2.48,0.0
20,-0.0028544,-2.4,-0.002
21,-0.0028512,-2.32,0.0
22,-0.002848,-2.32,0.0
23,-0.0028447999999999998,-2.24,-0.002
24,-0.0028415999999999997,-2.24,0.0
25,-0.0028383999999999996,-2.16,0.0
26,-0.0028352,-2.08,0.002
27,-0.002832,-2.08,-0.002
28,-0.0028288,-2.0,0.0
29,-0.0028255999999999997,-2.0,-0.004
30,-0.0028223999999999996,-1.92,0.0
31,-0.0028192,-1.84,0.002
32,-0.002816,-1.84,0.0
33,-0.0028128,-1.76,-0.002
34,-0.0028095999999999998,-1.68,0.0
35,-0.0028063999999999997,-1.68,0.0
36,-0.0028031999999999996,-1.6,-0.002
37,-0.0028,-1.52,0.0
38,-0.0027968,-1.52,0.0
39,-0.0027936,-1.44,0.0
40,-0.0027903999999999997,-1.44,-0.002
41,-0.0027871999999999997,-1.36,0.0
42,-0.002784,-1.36,0.002
43,-0.0027808,-1.28,0.0
44,-0.0027776,-1.2,0.0
45,-0.0027743999999999998,-1.2,0.0
46,-0.0027711999999999997,-1.12,-0.002
47,-0.0027679999999999996,-1.04,-0.002
48,-0.0027648,-1.04,-0.002
49,-0.0027616,-0.96,0.002
50,-0.0027584,-0.96,-0.002
51,-0.0027551999999999997,-0.88,0.002
52,-0.0027519999999999997,-0.88,0.0
53,-0.0027488,-0.8,-0.004
54,-0.0027456,-0.72,-0.002
55,-0.0027424,-0.72,0.0
56,-0.0027392,-0.64,0.0
57,-0.0027359999999999997,-0.56,-0.002
58,-0.0027327999999999996,-0.56,0.0
59,-0.0027296,-0.48,0.0
60,-0.0027264,-0.4,0.0
61,-0.0027232,-0.4,0.0
62,-0.0027199999999999998,-0.32,0.002
63,-0.0027167999999999997,-0.32,-0.002
64,-0.0027136,-0.24,0.0
65,-0.0027104,-0.16,0.002
66,-0.0027072,-0.16,-0.002
67,-0.002704,-0.08,0.0
68,-0.0027007999999999997,0.0,0.002
69,-0.0026975999999999997,0.0,0.0
70,-0.0026944,0.08,0.0
71,-0.0026912,0.08,0.0
72,-0.002688,0.16,0.0
73,-0.0026847999999999998,0.16,-0.002
74,-0.0026815999999999997,0.24,0.0
75,-0.0026784,0.32,0.0
76,-0.0026752,0.4,0.0
77,-0.002672,0.4,0.0
78,-0.0026688,0.48,0.0
79,-0.0026655999999999997,0.48,-0.002
80,-0.0026623999999999997,0.56,0.0
81,-0.0026591999999999996,0.64,0.002
82,-0.002656,0.64,0.0
83,-0.0026528,0.72,0.0
84,-0.0026496,0.72,0.002
85,-0.0026463999999999997,0.8,0.0
86,-0.0026432,0.88,0.0
87,-0.00264,0.88,0.002
88,-0.0026368,0.96,0.0
89,-0.0026336,0.96,0.002
90,-0.0026303999999999998,1.04,0.002
91,-0.0026271999999999997,1.04,0.0
92,-0.0026239999999999996,1.12,-0.002
93,-0.0026208,1.2,0.0
94,-0.0026176,1.2,0.002
95,-0.0026144,1.28,0.002
96,-0.0026111999999999997,1.36,0.002
97,-0.0026079999999999996,1.44,0.002
98,-0.0026048,1.44,0.0
99,-0.0026016,1.52,-0.002
100,-0.0025984,1.52,0.002
101,-0.0025951999999999998,1.6,0.002
102,-0.0025919999999999997,1.6,0.002
103,-0.0025887999999999996,1.68,0.002
104,-0.0025856,1.76,0.0
105,-0.0025824,1.76,0.002
106,-0.0025792,1.84,-0.002
107,-0.0025759999999999997,1.92,0.002
108,-0.0025727999999999997,1.92,0.002
109,-0.0025696,2.0,0.002
110,-0.0025664,2.0,0.002
111,-0.0025632,2.08,0.0
112,-0.0025599999999999998,2.16,0.0
113,-0.0025567999999999997,2.16,0.002
114,-0.0025535999999999996,2.24,0.0
115,-0.0025504,2.32,0.0
116,-0.0025472,2.32,0.002
117,-0.002544,2.4,0.002
118,-0.0025407999999999997,2.4,0.002
119,-0.0025375999999999997,2.48,-0.002
120,-0.0025344,2.48,0.0
121,-0.0025312,2.56,0.002
122,-0.002528,2.64,0.002
123,-0.0025248,2.64,0.002
124,-0.0025215999999999997,2.72,0.0
125,-0.0025183999999999996,2.72,0.002
126,-0.0025152,2.8000000000000003,0.0
127,-0.002512,2.88,0.0
128,-0.0025088,2.88,0.002
129,-0.0025055999999999998,2.96,0.002
130,-0.0025023999999999997,2.96,0.0
131,-0.0024992,3.04,0.002
132,-0.002496,3.12,0.002
133,-0.0024928,3.12,0.0
