,time,vin,vout
0,-0.08,4.96,4.82
1,-0.07992,4.96,4.84
2,-0.07984000000000001,4.94,4.82
3,-0.07976,4.94,4.84
4,-0.07968,4.96,4.82
5,-0.0796,4.94,4.84
6,-0.07952000000000001,4.96,4.84
7,-0.07944,4.96,4.84
8,-0.07936,4.96,4.84
9,-0.07928,4.96,4.84
10,-0.0792,4.96,4.84
11,-0.07912,4.94,4.84
12,-0.07904,4.94,4.84
13,-0.07896,4.96,4.84
14,-0.07888,4.94,4.84
15,-0.0788,4.96,4.84
16,-0.07872,4.94,4.86
17,-0.07864,4.94,4.84
18,-0.07856,4.94,4.84
19,-0.07848000000000001,4.94,4.84
20,-0.0784,4.94,4.86
21,-0.07832,4.94,4.84
22,-0.07824,4.94,4.84
23,-0.07816000000000001,4.94,4.84
24,-0.07808,4.94,4.84
25,-0.078,4.94,4.84
26,-0.07792,4.94,4.84
27,-0.07784,4.94,4.84
28,-0.07776,4.94,4.84
29,-0.07768,4.96,4.84
30,-0.0776,4.94,4.84
31,-0.07752,4.94,4.84
32,-0.07744,4.94,4.84
33,-0.07736,4.94,4.84
34,-0.07728,4.94,4.84
35,-0.0772,4.96,4.84
36,-0.07712000000000001,4.94,4.84
37,-0.07704,4.96,4.84
38,-0.07696,4.96,4.84
39,-0.07688,4.94,4.84
40,-0.07680000000000001,4.94,4.84
41,-0.07672,4.96,4.86
42,-0.07664,4.94,4.86
43,-0.07656,4.94,4.84
44,-0.07648,4.96,4.86
45,-0.0764,4.96,4.86
46,-0.07632,4.96,4.86
47,-0.07624,4.96,4.86
48,-0.07616,4.96,4.86
49,-0.07608,4.96,4.86
50,-0.076,4.96,4.84
51,-0.07592,4.96,4.86
52,-0.07584,4.96,4.86
53,-0.07576,4.96,4.86
54,-0.07568,4.96,4.84
55,-0.0756,4.96,4.86
56,-0.07552,4.96,4.84
57,-0.07544000000000001,4.96,4.86
58,-0.07536,4.94,4.86
59,-0.07528,4.96,4.86
60,-0.0752,4.94,4.86
61,-0.07512,4.94,4.86
62,-0.07504,4.94,4.86
63,-0.07496,4.94,4.86
64,-0.07488,4.94,4.86
65,-0.0748,4.94,4.86
66,-0.07472,4.96,4.86
67,-0.07464,4.96,4.86
68,-0.07456,4.94,4.86
69,-0.07448,4.96,4.86
70,-0.0744,4.94,4.86
71,-0.07432,4.94,4.86
72,-0.07424,4.94,4.86
73,-0.07416,4.94,4.88
74,-0.07408000000000001,4.96,4.86
75,-0.074,4.94,4.86
76,-0.07392,4.96,4.86
77,-0.07384,4.96,4.86
78,-0.07376,4.96,4.86
79,-0.07368,4.96,4.86
80,-0.0736,4.96,4.86
81,-0.07352,4.96,4.86
82,-0.07344,4.96,4.88
83,-0.07336,4.96,4.88
84,-0.07328,4.96,4.86
85,-0.0732,4.94,4.86
86,-0.07312,4.94,4.86
87,-0.07304,4.96,4.86
88,-0.07296,4.96,4.86
89,-0.07288,4.96,4.86
90,-0.0728,4.96,4.86
91,-0.07272,4.96,4.86
92,-0.07264,4.96,4.86
93,-0.07256,4.94,4.88
94,-0.07248,4.94,4.86
95,-0.0724,4.94,4.86
96,-0.07232,4.94,4.86
97,-0.07224,4.94,4.86
98,-0.07216,4.94,4.86
99,-0.07208,4.94,4.86
100,-0.07200000000000001,4.94,4.86
101,-0.07192,4.94,4.86
102,-0.07184,4.94,4.86
103,-0.07176,4.94,4.86
104,-0.07168,4.94,4.86
105,-0.0716,4.94,4.86
106,-0.07152,4.96,4.86
107,-0.07144,4.94,4.86
108,-0.07136,4.94,4.86
109,-0.07128,4.94,4.86
110,-0.0712,4.96,4.86
111,-0.07112,4.94,4.86
112,-0.07104,4.96,4.86
113,-0.07096,4.94,4.86
114,-0.07088,4.94,4.86
115,-0.0708,4.96,4.86
116,-0.07072,4.96,4.86
117,-0.07064000000000001,4.96,4.86
118,-0.07056,4.96,4.86
119,-0.07048,4.96,4.88
120,-0.0704,4.96,4.86
121,-0.07032,4.96,4.86
122,-0.07024,4.96,4.86
123,-0.07016,4.96,4.86
124,-0.07008,4.96,4.86
125,-0.07,4.96,4.86
126,-0.06992,4.96,4.86
127,-0.06984,4.96,4.86
128,-0.06976,4.94,4.86
129,-0.06968,4.94,4.86
130,-0.0696,4.94,4.86
131,-0.06952,4.94,4.86
132,-0.06944,4.96,4.86
133,-0.06936,4.94,4.86
134,-0.06928000000000001,4.94,4.86
135,-0.0692,4.94,4.86
136,-0.06912,4.96,4.86
137,-0.06904,4.94,4.88
138,-0.06896,4.94,4.88
139,-0.06888,4.94,4.88
140,-0.0688,4.94,4.86
141,-0.06872,4.94,4.86
142,-0.06864,4.94,4.86
143,-0.06856,4.94,4.86
144,-0.06848,4.96,4.86
145,-0.0684,4.94,4.86
146,-0.06832,4.94,4.86
147,-0.06824,4.94,4.86
148,-0.06816,4.96,4.86
149,-0.06808,4.96,4.86
150,-0.068,4.94,4.86
151,-0.06792000000000001,4.94,4.88
152,-0.06784,4.96,4.86
153,-0.06776,4.94,4.88
154,-0.06768,4.94,4.88
155,-0.0676,4.96,4.88
156,-0.06752,4.96,4.88
157,-0.06744,4.96,4.88
158,-0.06736,4.96,4.88
159,-0.06728,4.96,4.86
160,-0.0672,4.94,4.86
161,-0.06712,4.96,4.88
162,-0.06704,4.96,4.86
163,-0.06696,4.94,4.88
164,-0.06688,4.96,4.86
165,-0.0668,4.96,4.86
166,-0.06672,4.96,4.86
167,-0.06664,4.94,4.86
168,-0.06656000000000001,4.94,4.86
169,-0.06648,4.96,4.88
170,-0.0664,4.96,4.86
171,-0.06632,4.94,4.86
172,-0.06624,4.94,4.88
173,-0.06616,4.94,4.86
174,-0.06608,4.94,4.88
175,-0.066,4.96,4.86
176,-0.06592,4.94,4.86
177,-0.06584,4.94,4.86
178,-0.06576,4.94,4.86
179,-0.06568,4.94,4.86
180,-0.0656,4.94,4.88
181,-0.06552,4.96,4.86
182,-0.06544,4.94,4.86
183,-0.06536,4.96,4.88
184,-0.06528,4.96,4.88
185,-0.06520000000000001,4.96,4.88
186,-0.06512,4.94,4.88
187,-0.06504,4.94,4.88
188,-0.06496,4.96,4.88
189,-0.06488,4.96,4.88
190,-0.0648,4.96,4.86
191,-0.06472,4.94,4.88
192,-0.06464,4.96,4.88
193,-0.06456,4.94,4.88
194,-0.06448,4.96,4.86
195,-0.0644,4.96,4.88
196,-0.06432,4.94,4.86
197,-0.06424,4.94,4.88
198,-0.06416,4.96,4.86
199,-0.06408,4.96,4.88
200,-0.064,4.96,4.88
201,-0.06392,4.96,4.88
202,-0.06384000000000001,4.96,4.88
203,-0.06376,4.96,4.86
204,-0.06368,4.96,4.86
205,-0.0636,4.94,4.86
206,-0.06352,4.96,4.86
207,-0.06344,4.96,4.88
208,-0.06336,4.94,4.88
209,-0.06328,4.94,4.88
210,-0.0632,4.94,4.88
211,-0.06312,4.94,4.88
212,-0.06304,4.94,4.86
213,-0.06296,4.94,4.9
214,-0.06288,4.96,4.88
215,-0.0628,4.94,4.88
216,-0.06272,4.94,4.88
217,-0.06264,4.96,4.88
218,-0.06256,4.96,4.88
219,-0.06248,0.02,4.84
220,-0.0624,0.02,4.8
221,-0.06232,0.02,4.78
222,-0.062240000000000004,0.04,4.74
223,-0.06216,0.02,4.7
224,-0.062079999999999996,0.04,4.64
225,-0.062,0.02,4.62
226,-0.06192,0.04,4.58
227,-0.06184,0.04,4.5600000000000005
228,-0.061759999999999995,0.02,4.5
229,-0.06168,0.02,4.46
230,-0.0616,0.02,4.44
231,-0.061520000000000005,0.0,4.4
232,-0.06144,0.02,4.36
233,-0.06136,0.02,4.32
234,-0.06128,0.02,4.3
235,-0.061200000000000004,0.04,4.24
236,-0.06112,0.02,4.2
237,-0.06104,0.02,4.2
238,-0.06096,0.02,4.14
239,-0.060880000000000004,0.02,4.1
240,-0.0608,0.02,4.08
241,-0.060719999999999996,0.02,4.04
242,-0.06064,0.02,4.0
243,-0.06056,0.02,3.98
244,-0.06048,0.02,3.94
245,-0.060399999999999995,0.02,3.9
246,-0.06032,0.0,3.88
247,-0.06024,0.02,3.84
248,-0.060160000000000005,0.02,3.8200000000000003
249,-0.06008,0.02,3.7800000000000002
250,-0.06,0.02,3.7600000000000002
251,-0.05992,0.0,3.72
252,-0.059840000000000004,0.02,3.7
253,-0.05976,0.02,3.66
254,-0.05968,0.02,3.64
255,-0.0596,0.02,3.6
256,-0.05952,0.02,3.58
257,-0.05944,0.02,3.54
258,-0.059359999999999996,0.02,3.52
259,-0.05928,0.02,3.48
260,-0.0592,0.02,3.46
261,-0.05912,0.02,3.44
262,-0.059039999999999995,0.02,3.4
263,-0.05896,0.02,3.38
264,-0.05888,0.02,3.36
265,-0.058800000000000005,0.02,3.34
266,-0.05872,0.02,3.3000000000000003
267,-0.05864,0.0,3.2800000000000002
