,time,VCH1,VCH2
0,-0.32,0.0,0.08
1,-0.31968,0.0,0.08
2,-0.31936000000000003,0.0,0.06
3,-0.31904,0.0,0.08
4,-0.31872,0.0,0.08
5,-0.3184,0.0,0.06
6,-0.31808000000000003,0.02,0.06
7,-0.31776,0.0,0.06
8,-0.31744,0.02,0.06
9,-0.31712,0.0,0.06
10,-0.3168,0.0,0.08
11,-0.31648,0.0,0.06
12,-0.31616,0.02,0.06
13,-0.31584,0.0,0.06
14,-0.31552,0.0,0.06
15,-0.3152,0.02,0.06
16,-0.31488,0.0,0.06
17,-0.31456,0.02,0.06
18,-0.31424,0.02,0.06
19,-0.31392000000000003,0.0,0.06
20,-0.3136,0.0,0.06
21,-0.31328,0.0,0.06
22,-0.31296,0.02,0.06
23,-0.31264000000000003,0.0,0.06
24,-0.31232,0.02,0.06
25,-0.312,0.0,0.06
26,-0.31168,0.0,0.06
27,-0.31136,0.0,0.06
28,-0.31104,0.02,0.06
29,-0.31072,0.0,0.06
30,-0.3104,0.0,0.06
31,-0.31008,0.02,0.06
32,-0.30976,0.0,0.06
33,-0.30944,0.0,0.06
34,-0.30912,0.0,0.06
35,-0.3088,0.0,0.06
36,-0.30848000000000003,0.02,0.06
37,-0.30816,0.02,0.06
38,-0.30784,0.0,0.06
39,-0.30752,0.0,0.06
40,-0.30720000000000003,0.0,0.06
41,-0.30688,0.0,0.06
42,-0.30656,0.0,0.06
43,-0.30624,0.0,0.06
44,-0.30592,0.0,0.06
45,-0.3056,0.0,0.06
46,-0.30528,0.0,0.06
47,-0.30496,0.0,0.06
48,-0.30464,0.0,0.04
49,-0.30432,0.02,0.04
50,-0.304,0.0,0.04
51,-0.30368,0.0,0.06
52,-0.30336,0.02,0.06
53,-0.30304,0.0,0.06
54,-0.30272,0.02,0.04
55,-0.3024,0.02,0.04
56,-0.30208,0.0,0.04
57,-0.30176000000000003,0.0,0.06
58,-0.30144,0.02,0.06
59,-0.30112,0.0,0.04
60,-0.3008,0.0,0.04
61,-0.30048,0.02,0.06
62,-0.30016,0.02,0.04
63,-0.29984,0.0,0.04
64,-0.29952,0.0,0.04
65,-0.2992,0.0,0.04
66,-0.29888,0.02,0.06
