,time,VCH1,VCH2
0,-4e-06,-2.48,-2.48
1,-3.8e-06,-2.48,-2.52
2,-3.6e-06,-2.48,-2.56
3,-3.3999999999999996e-06,-2.52,-2.52
4,-3.2e-06,-2.48,-2.56
5,-3e-06,-2.52,-2.56
6,-2.8e-06,-2.52,-2.56
7,-2.5999999999999997e-06,-2.52,-2.52
8,-2.4e-06,-2.48,-2.48
9,-2.2e-06,-2.48,-2.52
10,-2e-06,-2.48,-2.52
11,-1.7999999999999997e-06,-2.48,-2.56
12,-1.6e-06,-2.52,-2.52
13,-1.4000000000000001e-06,-2.56,-2.52
14,-1.2e-06,-2.48,-2.52
15,-9.999999999999997e-07,-2.48,-2.52
16,-8e-07,-2.48,-2.48
17,-6.000000000000002e-07,-2.52,-2.52
18,-4e-07,-2.52,-2.52
19,-1.9999999999999978e-07,-2.52,-2.52
20,0.0,-2.48,-2.52
21,1.9999999999999978e-07,-2.52,-2.48
22,4.000000000000004e-07,-2.52,-2.52
23,6.000000000000002e-07,-2.52,-2.52
24,8e-07,-2.52,-2.52
25,9.999999999999997e-07,-2.48,-2.52
26,1.1999999999999995e-06,1.6400000000000001,-2.52
27,1.4000000000000001e-06,2.48,-2.44
28,1.6e-06,2.48,-2.2
29,1.7999999999999997e-06,2.44,-2.08
30,2.0000000000000003e-06,2.44,-1.8800000000000001
31,2.2e-06,2.44,-1.72
32,2.4e-06,2.44,-1.6
33,2.5999999999999997e-06,2.44,-1.4000000000000001
34,2.7999999999999994e-06,2.44,-1.24
35,3e-06,2.4,-1.04
36,3.2e-06,2.44,-0.84
37,3.3999999999999996e-06,2.4,-0.64
38,3.6000000000000003e-06,2.48,-0.48
39,3.8e-06,2.44,-0.28
40,4e-06,2.44,-0.08
41,4.2e-06,2.48,0.16
42,4.399999999999999e-06,2.44,0.32
43,4.599999999999999e-06,2.44,0.6
44,4.800000000000001e-06,2.4,0.8
45,5e-06,2.44,1.04
46,5.2e-06,2.4,1.28
47,5.4e-06,2.48,1.48
48,5.6e-06,2.48,1.72
49,5.7999999999999995e-06,2.44,1.92
50,5.999999999999999e-06,2.48,2.12
51,6.199999999999999e-06,2.48,2.32
52,6.399999999999999e-06,2.52,2.48
53,6.6e-06,2.52,2.64
54,6.8e-06,2.48,2.7600000000000002
55,7e-06,2.48,2.96
56,7.2e-06,2.48,3.04
57,7.3999999999999995e-06,2.52,3.12
58,7.599999999999999e-06,2.52,3.2
59,7.8e-06,2.52,3.4
60,8.000000000000001e-06,2.48,3.44
61,8.2e-06,2.52,3.52
62,8.400000000000001e-06,2.52,3.56
63,8.599999999999999e-06,2.56,3.68
64,8.8e-06,2.52,3.72
65,8.999999999999999e-06,2.52,3.7600000000000002
66,9.2e-06,2.52,3.8000000000000003
67,9.399999999999998e-06,2.56,3.84
68,9.6e-06,2.52,3.92
69,9.800000000000001e-06,2.52,3.96
70,9.999999999999999e-06,2.48,4.04
71,1.02e-05,2.56,4.08
72,1.0399999999999999e-05,2.52,4.08
73,1.06e-05,2.56,4.12
74,1.0799999999999998e-05,2.52,4.2
75,1.1e-05,2.56,4.24
76,1.1200000000000001e-05,2.56,4.28
77,1.14e-05,2.52,4.32
78,1.16e-05,2.52,4.4
79,1.1799999999999999e-05,2.56,4.48
80,1.2e-05,2.56,4.5200000000000005
81,1.2200000000000002e-05,2.52,4.5600000000000005
82,1.24e-05,2.56,4.64
83,1.2600000000000001e-05,2.52,4.68
84,1.28e-05,2.52,4.8
85,1.3000000000000001e-05,2.52,4.84
86,1.3199999999999999e-05,2.52,4.92
87,1.34e-05,2.56,4.96
88,1.3600000000000002e-05,2.52,5.04
89,1.38e-05,2.56,5.08
90,1.4000000000000001e-05,2.52,5.16
91,1.42e-05,2.52,5.2
92,1.4400000000000001e-05,2.56,5.28
93,1.4599999999999999e-05,2.52,5.24
94,1.48e-05,2.56,5.32
95,1.4999999999999999e-05,2.56,5.32
96,1.52e-05,2.56,5.32
97,1.54e-05,2.52,5.4
98,1.56e-05,2.56,5.4
99,1.58e-05,2.56,5.28
100,1.6e-05,2.56,5.32
101,1.62e-05,2.56,5.28
102,1.64e-05,2.56,5.24
103,1.66e-05,2.6,5.2
104,1.68e-05,2.56,5.12
105,1.7e-05,2.6,5.04
106,1.72e-05,2.6,4.92
107,1.74e-05,2.6,4.8
108,1.76e-05,2.56,4.72
109,1.78e-05,2.56,4.6000000000000005
110,1.8e-05,2.6,4.48
111,1.82e-05,2.6,4.32
112,1.84e-05,2.56,4.16
113,1.86e-05,2.6,4.0
114,1.88e-05,2.64,3.8000000000000003
115,1.9e-05,2.6,3.6
116,1.92e-05,2.6,3.48
117,1.94e-05,2.6,3.36
118,1.96e-05,2.6,3.08
119,1.98e-05,2.6,2.92
120,2e-05,2.6,2.7600000000000002
121,2.02e-05,2.64,2.6
122,2.04e-05,2.6,2.44
123,2.06e-05,2.6,2.16
124,2.08e-05,2.6,2.04
125,2.1e-05,2.64,1.84
126,2.12e-05,2.68,1.68
127,2.14e-05,2.6,1.48
128,2.16e-05,2.56,1.32
129,2.18e-05,2.6,1.2
130,2.2e-05,2.56,1.0
131,2.22e-05,2.6,0.88
132,2.24e-05,2.6,0.76
133,2.26e-05,2.6,0.68
134,2.28e-05,2.56,0.56
135,2.3e-05,2.6,0.44
136,2.3199999999999998e-05,2.56,0.36
137,2.34e-05,2.6,0.28
138,2.36e-05,2.6,0.2
139,2.38e-05,2.56,0.16
140,2.4e-05,2.6,0.08
141,2.42e-05,2.56,0.04
142,2.44e-05,2.56,-0.04
143,2.4599999999999998e-05,2.56,-0.04
144,2.48e-05,2.56,-0.04
145,2.5e-05,2.56,-0.08
146,2.52e-05,2.56,-0.08
147,2.54e-05,2.56,-0.04
148,2.56e-05,2.56,-0.04
149,2.58e-05,2.56,-0.04
150,2.6e-05,2.56,-0.04
151,2.62e-05,2.56,0.0
152,2.64e-05,2.52,0.0
153,2.66e-05,2.56,0.08
154,2.6799999999999998e-05,2.52,0.12
155,2.7000000000000002e-05,2.52,0.16
156,2.72e-05,2.52,0.2
157,2.74e-05,2.52,0.28
158,2.7599999999999997e-05,2.56,0.32
159,2.78e-05,2.56,0.4
160,2.8e-05,2.52,0.44
161,2.8199999999999998e-05,2.56,0.48
162,2.8400000000000003e-05,2.56,0.52
163,2.86e-05,2.56,0.64
164,2.88e-05,2.6,0.68
165,2.8999999999999997e-05,2.56,0.76
166,2.92e-05,2.52,0.8
167,2.94e-05,2.52,0.92
168,2.9599999999999998e-05,2.48,0.96
169,2.9800000000000003e-05,2.48,1.08
170,3e-05,2.52,1.16
171,3.02e-05,2.48,1.24
172,3.0399999999999997e-05,2.48,1.28
173,3.06e-05,2.56,1.4000000000000001
174,3.0799999999999996e-05,2.56,1.48
175,3.0999999999999995e-05,2.56,1.52
176,3.12e-05,2.48,1.68
177,3.14e-05,2.56,1.72
178,3.1599999999999996e-05,2.56,1.8800000000000001
179,3.1799999999999994e-05,2.56,1.96
180,3.2e-05,2.52,2.04
181,3.22e-05,2.52,2.08
182,3.2399999999999995e-05,2.52,2.16
183,3.259999999999999e-05,2.52,2.36
184,3.28e-05,2.52,2.44
185,3.2999999999999996e-05,2.52,2.56
186,3.3199999999999994e-05,2.56,2.64
187,3.34e-05,2.48,2.7600000000000002
188,3.36e-05,2.56,2.92
189,3.3799999999999995e-05,2.56,3.0
190,3.399999999999999e-05,2.52,3.12
191,3.42e-05,2.52,3.24
192,3.4399999999999996e-05,2.52,3.3200000000000003
193,3.4599999999999994e-05,2.52,3.44
194,3.48e-05,2.52,3.56
195,3.5e-05,2.52,3.68
196,3.5199999999999995e-05,2.56,3.8000000000000003
197,3.539999999999999e-05,2.56,3.96
198,3.56e-05,2.56,3.96
199,3.5799999999999996e-05,2.56,4.08
200,3.5999999999999994e-05,2.56,4.2
201,3.62e-05,2.52,4.28
202,3.64e-05,2.56,4.36
203,3.6599999999999995e-05,2.52,4.48
204,3.679999999999999e-05,2.52,4.5200000000000005
205,3.7e-05,2.56,4.6000000000000005
206,3.7199999999999996e-05,2.6,4.64
207,3.7399999999999994e-05,2.52,4.68
208,3.759999999999999e-05,2.56,4.76
209,3.78e-05,2.56,4.8
210,3.7999999999999995e-05,2.52,4.84
211,3.8199999999999993e-05,2.52,4.88
212,3.84e-05,2.56,4.92
213,3.8599999999999996e-05,2.56,4.96
214,3.8799999999999994e-05,2.56,4.92
215,3.899999999999999e-05,2.56,4.96
216,3.92e-05,2.56,4.88
217,3.9399999999999995e-05,2.56,4.92
218,3.9599999999999994e-05,2.56,4.92
219,3.98e-05,2.56,4.84
220,3.9999999999999996e-05,2.6,4.84
221,4.0199999999999995e-05,2.6,4.8
222,4.039999999999999e-05,2.56,4.76
223,4.06e-05,2.6,4.68
224,4.0799999999999996e-05,2.6,4.64
225,4.0999999999999994e-05,2.56,4.5600000000000005
226,4.12e-05,2.6,4.48
227,4.14e-05,2.64,4.4
228,4.1599999999999995e-05,2.6,4.32
229,4.179999999999999e-05,2.6,4.24
230,4.2e-05,2.6,4.16
231,4.2199999999999996e-05,2.6,4.04
232,4.2399999999999994e-05,2.56,3.96
233,4.26e-05,2.6,3.88
234,4.28e-05,2.56,3.8000000000000003
235,4.2999999999999995e-05,2.6,3.6
236,4.319999999999999e-05,2.6,3.56
237,4.34e-05,2.56,3.48
238,4.3599999999999996e-05,2.6,3.3200000000000003
239,4.3799999999999994e-05,2.6,3.2
240,4.4e-05,2.6,3.12
241,4.42e-05,2.6,3.04
242,4.4399999999999995e-05,2.56,2.92
243,4.459999999999999e-05,2.64,2.8000000000000003
244,4.48e-05,2.6,2.68
245,4.4999999999999996e-05,2.64,2.56
246,4.5199999999999994e-05,2.6,2.48
247,4.539999999999999e-05,2.6,2.44
