,time,VCH1,VCH2
0,-1.25e-05,-2.0,-0.48
1,-1.249e-05,-2.0,-0.56
2,-1.248e-05,-2.0,-0.56
3,-1.2470000000000001e-05,-1.92,-0.48
4,-1.2460000000000001e-05,-2.0,-0.56
5,-1.2450000000000001e-05,-1.84,-0.56
6,-1.2440000000000001e-05,-1.92,-0.64
7,-1.2430000000000001e-05,-1.92,-0.56
8,-1.2420000000000001e-05,-1.76,-0.56
9,-1.241e-05,-1.84,-0.64
10,-1.24e-05,-1.92,-0.56
11,-1.239e-05,-1.84,-0.56
12,-1.238e-05,-1.84,-0.72
13,-1.237e-05,-1.84,-0.64
14,-1.236e-05,-1.76,-0.64
15,-1.235e-05,-1.84,-0.64
16,-1.234e-05,-1.76,-0.64
17,-1.233e-05,-1.76,-0.72
18,-1.232e-05,-1.76,-0.72
19,-1.231e-05,-1.76,-0.72
20,-1.23e-05,-1.84,-0.72
21,-1.2290000000000001e-05,-1.68,-0.64
22,-1.2280000000000001e-05,-1.84,-0.72
23,-1.2270000000000001e-05,-1.68,-0.8
24,-1.2260000000000001e-05,-1.76,-0.72
25,-1.2250000000000001e-05,-1.6,-0.72
26,-1.2240000000000001e-05,-1.76,-0.72
27,-1.223e-05,-1.76,-0.8
28,-1.222e-05,-1.6,-0.8
29,-1.221e-05,-1.68,-0.8
30,-1.22e-05,-1.68,-0.88
31,-1.219e-05,-1.68,-0.88
32,-1.218e-05,-1.68,-0.88
33,-1.217e-05,-1.6,-0.8
34,-1.216e-05,-1.6,-0.8
35,-1.215e-05,-1.6,-0.88
36,-1.214e-05,-1.68,-0.8
37,-1.213e-05,-1.68,-0.8
38,-1.2120000000000001e-05,-1.52,-0.96
39,-1.2110000000000001e-05,-1.52,-0.72
40,-1.2100000000000001e-05,-1.6,-0.88
41,-1.2090000000000001e-05,-1.52,-0.88
42,-1.2080000000000001e-05,-1.6,-0.88
43,-1.2070000000000001e-05,-1.44,-0.96
44,-1.206e-05,-1.6,-0.88
45,-1.205e-05,-1.52,-0.88
46,-1.204e-05,-1.44,-0.88
47,-1.203e-05,-1.52,-0.88
48,-1.202e-05,-1.52,-0.88
49,-1.201e-05,-1.52,-0.96
50,-1.2e-05,-1.52,-0.96
51,-1.199e-05,-1.44,-1.04
52,-1.198e-05,-1.44,-0.96
53,-1.197e-05,-1.44,-0.96
54,-1.196e-05,-1.44,-0.96
55,-1.195e-05,-1.36,-0.96
56,-1.1940000000000001e-05,-1.36,-0.96
57,-1.1930000000000001e-05,-1.36,-0.96
58,-1.1920000000000001e-05,-1.28,-1.04
59,-1.1910000000000001e-05,-1.28,-1.12
60,-1.1900000000000001e-05,-1.36,-1.04
61,-1.1890000000000001e-05,-1.36,-0.96
62,-1.1880000000000001e-05,-1.28,-1.04
63,-1.187e-05,-1.36,-0.96
64,-1.186e-05,-1.28,-1.04
65,-1.185e-05,-1.36,-1.04
66,-1.184e-05,-1.28,-1.12
67,-1.183e-05,-1.28,-1.12
68,-1.182e-05,-1.2,-1.04
69,-1.181e-05,-1.28,-1.12
70,-1.18e-05,-1.28,-1.12
71,-1.179e-05,-1.28,-1.12
72,-1.178e-05,-1.12,-1.12
73,-1.177e-05,-1.12,-1.12
74,-1.1760000000000001e-05,-1.12,-1.12
75,-1.1750000000000001e-05,-1.12,-1.12
76,-1.1740000000000001e-05,-1.12,-1.12
77,-1.1730000000000001e-05,-1.12,-1.2
78,-1.1720000000000001e-05,-1.12,-1.12
79,-1.1710000000000001e-05,-1.12,-1.2
80,-1.17e-05,-1.12,-1.12
81,-1.169e-05,-1.04,-1.12
82,-1.168e-05,-1.04,-1.2
83,-1.167e-05,-1.04,-1.2
84,-1.166e-05,-1.04,-1.12
85,-1.165e-05,-1.12,-1.2
86,-1.164e-05,-1.04,-1.2
87,-1.163e-05,-1.04,-1.28
88,-1.162e-05,-1.04,-1.28
89,-1.161e-05,-0.88,-1.28
90,-1.16e-05,-0.96,-1.2
91,-1.159e-05,-1.12,-1.2
92,-1.1580000000000001e-05,-0.96,-1.2
93,-1.1570000000000001e-05,-0.88,-1.28
94,-1.1560000000000001e-05,-0.88,-1.28
95,-1.1550000000000001e-05,-0.88,-1.28
96,-1.1540000000000001e-05,-0.8,-1.36
97,-1.153e-05,-0.8,-1.36
98,-1.1520000000000002e-05,-0.88,-1.28
99,-1.151e-05,-0.8,-1.2
100,-1.15e-05,-0.88,-1.28
101,-1.149e-05,-0.8,-1.28
102,-1.148e-05,-0.8,-1.28
103,-1.147e-05,-0.72,-1.2
104,-1.146e-05,-0.8,-1.28
105,-1.145e-05,-0.72,-1.2
106,-1.144e-05,-0.8,-1.36
107,-1.143e-05,-0.72,-1.28
108,-1.142e-05,-0.72,-1.36
109,-1.1410000000000001e-05,-0.64,-1.36
110,-1.1400000000000001e-05,-0.64,-1.36
111,-1.1390000000000001e-05,-0.64,-1.44
112,-1.1380000000000001e-05,-0.72,-1.36
113,-1.1370000000000001e-05,-0.64,-1.36
114,-1.136e-05,-0.72,-1.28
115,-1.1350000000000001e-05,-0.56,-1.28
116,-1.134e-05,-0.64,-1.44
117,-1.133e-05,-0.48,-1.36
118,-1.132e-05,-0.56,-1.44
119,-1.131e-05,-0.48,-1.44
120,-1.13e-05,-0.48,-1.36
121,-1.129e-05,-0.48,-1.36
122,-1.128e-05,-0.56,-1.44
123,-1.127e-05,-0.48,-1.44
124,-1.126e-05,-0.48,-1.36
125,-1.125e-05,-0.4,-1.44
126,-1.124e-05,-0.4,-1.44
127,-1.1230000000000001e-05,-0.48,-1.44
128,-1.1220000000000001e-05,-0.4,-1.44
129,-1.1210000000000001e-05,-0.4,-1.44
130,-1.1200000000000001e-05,-0.4,-1.44
131,-1.1190000000000001e-05,-0.32,-1.52
132,-1.1180000000000001e-05,-0.32,-1.36
133,-1.117e-05,-0.32,-1.44
134,-1.116e-05,-0.32,-1.52
135,-1.115e-05,-0.4,-1.52
136,-1.114e-05,-0.32,-1.44
137,-1.113e-05,-0.24,-1.44
138,-1.112e-05,-0.24,-1.44
139,-1.111e-05,-0.24,-1.44
140,-1.11e-05,-0.24,-1.52
141,-1.109e-05,-0.32,-1.44
142,-1.108e-05,-0.24,-1.44
143,-1.107e-05,-0.16,-1.52
144,-1.106e-05,-0.24,-1.52
145,-1.1050000000000001e-05,-0.16,-1.36
146,-1.1040000000000001e-05,-0.16,-1.44
147,-1.1030000000000001e-05,-0.16,-1.44
148,-1.1020000000000001e-05,-0.16,-1.44
149,-1.1010000000000001e-05,-0.08,-1.44
150,-1.1e-05,0.0,-1.52
151,-1.0990000000000002e-05,-0.08,-1.52
152,-1.098e-05,0.0,-1.52
153,-1.097e-05,0.0,-1.44
154,-1.096e-05,-0.08,-1.52
155,-1.095e-05,0.0,-1.52
156,-1.094e-05,0.08,-1.52
157,-1.093e-05,0.08,-1.52
158,-1.092e-05,0.08,-1.44
159,-1.091e-05,0.08,-1.52
160,-1.09e-05,0.08,-1.52
161,-1.089e-05,0.16,-1.6
162,-1.0880000000000001e-05,0.16,-1.52
163,-1.0870000000000001e-05,0.08,-1.52
164,-1.0860000000000001e-05,0.16,-1.52
165,-1.0850000000000001e-05,0.08,-1.52
166,-1.0840000000000001e-05,0.16,-1.52
167,-1.083e-05,0.16,-1.52
168,-1.0820000000000001e-05,0.16,-1.6
169,-1.081e-05,0.16,-1.52
170,-1.08e-05,0.24,-1.52
171,-1.079e-05,0.16,-1.52
172,-1.078e-05,0.24,-1.6
173,-1.077e-05,0.32,-1.6
174,-1.076e-05,0.32,-1.44
175,-1.075e-05,0.24,-1.52
176,-1.074e-05,0.24,-1.52
177,-1.073e-05,0.24,-1.52
178,-1.072e-05,0.32,-1.68
179,-1.071e-05,0.32,-1.44
180,-1.0700000000000001e-05,0.32,-1.6
181,-1.0690000000000001e-05,0.32,-1.52
182,-1.0680000000000001e-05,0.32,-1.6
183,-1.0670000000000001e-05,0.32,-1.6
184,-1.0660000000000001e-05,0.4,-1.6
185,-1.0650000000000001e-05,0.4,-1.6
186,-1.064e-05,0.48,-1.52
187,-1.063e-05,0.48,-1.6
188,-1.062e-05,0.48,-1.6
189,-1.061e-05,0.4,-1.6
190,-1.06e-05,0.48,-1.6
191,-1.059e-05,0.48,-1.6
192,-1.058e-05,0.56,-1.52
193,-1.057e-05,0.56,-1.6
194,-1.056e-05,0.64,-1.52
195,-1.055e-05,0.56,-1.6
196,-1.054e-05,0.56,-1.6
197,-1.053e-05,0.56,-1.52
198,-1.0520000000000001e-05,0.56,-1.52
199,-1.0510000000000001e-05,0.64,-1.6
200,-1.0500000000000001e-05,0.64,-1.52
201,-1.049e-05,0.64,-1.6
202,-1.0480000000000001e-05,0.72,-1.52
203,-1.047e-05,0.64,-1.52
204,-1.0460000000000001e-05,0.72,-1.52
205,-1.045e-05,0.72,-1.6
206,-1.044e-05,0.72,-1.6
207,-1.043e-05,0.72,-1.6
208,-1.042e-05,0.72,-1.68
209,-1.041e-05,0.72,-1.6
210,-1.04e-05,0.8,-1.52
211,-1.039e-05,0.88,-1.6
212,-1.038e-05,0.8,-1.6
213,-1.037e-05,0.88,-1.52
214,-1.036e-05,0.88,-1.52
215,-1.0350000000000001e-05,0.8,-1.52
216,-1.0340000000000001e-05,0.88,-1.6
217,-1.0330000000000001e-05,0.88,-1.52
218,-1.0320000000000001e-05,0.88,-1.6
219,-1.0310000000000001e-05,0.96,-1.52
220,-1.03e-05,0.96,-1.6
221,-1.0290000000000001e-05,0.96,-1.6
222,-1.028e-05,0.96,-1.52
223,-1.027e-05,1.04,-1.52
224,-1.026e-05,1.04,-1.6
225,-1.025e-05,0.96,-1.6
226,-1.024e-05,1.04,-1.52
227,-1.023e-05,1.04,-1.44
228,-1.022e-05,1.04,-1.6
229,-1.021e-05,1.04,-1.6
230,-1.02e-05,1.04,-1.52
231,-1.019e-05,1.04,-1.52
232,-1.018e-05,1.2,-1.52
233,-1.0170000000000001e-05,1.04,-1.52
234,-1.0160000000000001e-05,1.12,-1.44
235,-1.0150000000000001e-05,1.12,-1.52
236,-1.0140000000000001e-05,1.2,-1.6
237,-1.013e-05,1.2,-1.52
238,-1.0120000000000001e-05,1.04,-1.52
239,-1.011e-05,1.2,-1.6
240,-1.0100000000000002e-05,1.2,-1.6
241,-1.009e-05,1.2,-1.52
242,-1.008e-05,1.28,-1.52
243,-1.007e-05,1.28,-1.52
244,-1.006e-05,1.2,-1.52
245,-1.005e-05,1.2,-1.52
246,-1.004e-05,1.28,-1.6
247,-1.003e-05,1.28,-1.52
248,-1.002e-05,1.28,-1.44
249,-1.001e-05,1.28,-1.44
250,-1e-05,1.28,-1.44
251,-9.990000000000001e-06,1.28,-1.52
252,-9.980000000000001e-06,1.28,-1.44
253,-9.970000000000001e-06,1.36,-1.44
254,-9.96e-06,1.36,-1.52
255,-9.950000000000001e-06,1.44,-1.44
256,-9.94e-06,1.44,-1.52
257,-9.930000000000001e-06,1.44,-1.52
258,-9.92e-06,1.36,-1.44
259,-9.91e-06,1.44,-1.52
260,-9.9e-06,1.36,-1.52
261,-9.89e-06,1.44,-1.44
262,-9.88e-06,1.44,-1.44
263,-9.87e-06,1.44,-1.52
264,-9.86e-06,1.44,-1.44
265,-9.85e-06,1.52,-1.44
266,-9.84e-06,1.52,-1.44
267,-9.83e-06,1.6,-1.52
268,-9.820000000000001e-06,1.52,-1.44
269,-9.810000000000001e-06,1.52,-1.44
270,-9.800000000000001e-06,1.6,-1.44
271,-9.790000000000001e-06,1.52,-1.52
272,-9.780000000000001e-06,1.68,-1.44
273,-9.77e-06,1.6,-1.36
274,-9.760000000000001e-06,1.6,-1.36
275,-9.75e-06,1.6,-1.36
276,-9.74e-06,1.6,-1.44
277,-9.73e-06,1.68,-1.44
278,-9.72e-06,1.68,-1.36
279,-9.71e-06,1.76,-1.36
280,-9.7e-06,1.76,-1.36
281,-9.69e-06,1.68,-1.36
282,-9.68e-06,1.68,-1.36
283,-9.67e-06,1.68,-1.44
284,-9.66e-06,1.68,-1.44
285,-9.65e-06,1.68,-1.36
286,-9.640000000000001e-06,1.68,-1.36
287,-9.630000000000001e-06,1.76,-1.28
288,-9.620000000000001e-06,1.76,-1.44
289,-9.610000000000001e-06,1.68,-1.44
290,-9.6e-06,1.76,-1.36
291,-9.590000000000001e-06,1.84,-1.28
292,-9.58e-06,1.84,-1.28
293,-9.570000000000002e-06,1.84,-1.28
294,-9.56e-06,1.84,-1.28
295,-9.55e-06,1.84,-1.36
296,-9.54e-06,1.84,-1.28
297,-9.53e-06,1.84,-1.28
298,-9.52e-06,1.92,-1.28
299,-9.51e-06,1.84,-1.28
300,-9.5e-06,1.76,-1.28
301,-9.49e-06,1.84,-1.28
302,-9.48e-06,1.92,-1.28
303,-9.47e-06,2.0,-1.28
304,-9.460000000000001e-06,1.92,-1.28
305,-9.450000000000001e-06,1.92,-1.28
306,-9.440000000000001e-06,1.92,-1.28
307,-9.43e-06,1.92,-1.36
308,-9.420000000000001e-06,1.92,-1.28
309,-9.41e-06,1.92,-1.2
310,-9.400000000000001e-06,1.92,-1.28
311,-9.39e-06,2.0,-1.2
312,-9.38e-06,1.92,-1.2
313,-9.37e-06,2.0,-1.12
314,-9.36e-06,1.92,-1.2
315,-9.35e-06,2.0,-1.28
316,-9.34e-06,1.92,-1.2
317,-9.33e-06,2.0,-1.28
318,-9.32e-06,2.08,-1.12
319,-9.31e-06,1.92,-1.2
320,-9.3e-06,2.0,-1.2
321,-9.29e-06,2.08,-1.12
322,-9.280000000000001e-06,2.08,-1.12
323,-9.270000000000001e-06,2.16,-1.2
324,-9.260000000000001e-06,2.0,-1.2
325,-9.250000000000001e-06,2.08,-1.2
326,-9.24e-06,2.16,-1.12
327,-9.230000000000001e-06,2.08,-1.12
328,-9.22e-06,2.08,-1.12
329,-9.21e-06,2.08,-1.12
330,-9.2e-06,2.16,-1.12
331,-9.19e-06,2.16,-1.2
332,-9.18e-06,2.08,-1.12
333,-9.17e-06,2.24,-1.04
334,-9.16e-06,2.16,-1.04
335,-9.15e-06,2.16,-1.12
336,-9.14e-06,2.24,-1.04
337,-9.13e-06,2.08,-1.12
338,-9.12e-06,2.16,-1.04
339,-9.110000000000001e-06,2.16,-1.04
340,-9.100000000000001e-06,2.24,-1.04
341,-9.090000000000001e-06,2.24,-1.12
342,-9.080000000000001e-06,2.16,-0.96
343,-9.07e-06,2.16,-0.96
344,-9.060000000000001e-06,2.24,-1.04
345,-9.05e-06,2.32,-1.04
346,-9.040000000000002e-06,2.24,-0.96
347,-9.03e-06,2.24,-0.96
348,-9.02e-06,2.32,-0.88
349,-9.01e-06,2.4,-1.04
350,-9e-06,2.24,-0.96
351,-8.99e-06,2.24,-0.96
352,-8.98e-06,2.32,-0.88
353,-8.97e-06,2.24,-0.96
354,-8.96e-06,2.32,-0.96
355,-8.95e-06,2.32,-0.8
356,-8.94e-06,2.32,-0.88
357,-8.930000000000001e-06,2.32,-0.96
358,-8.920000000000001e-06,2.24,-0.88
359,-8.910000000000001e-06,2.32,-0.88
360,-8.9e-06,2.32,-0.8
361,-8.890000000000001e-06,2.4,-0.88
362,-8.88e-06,2.24,-0.88
363,-8.870000000000001e-06,2.24,-0.88
364,-8.86e-06,2.4,-0.8
365,-8.85e-06,2.24,-0.88
366,-8.84e-06,2.4,-0.8
367,-8.83e-06,2.32,-0.8
368,-8.82e-06,2.32,-0.8
369,-8.81e-06,2.4,-0.88
370,-8.8e-06,2.4,-0.8
371,-8.79e-06,2.32,-0.72
372,-8.78e-06,2.4,-0.72
373,-8.77e-06,2.4,-0.8
374,-8.76e-06,2.32,-0.8
375,-8.750000000000001e-06,2.32,-0.72
376,-8.740000000000001e-06,2.4,-0.72
377,-8.730000000000001e-06,2.4,-0.72
378,-8.720000000000001e-06,2.4,-0.8
379,-8.71e-06,2.4,-0.72
380,-8.700000000000001e-06,2.4,-0.8
381,-8.69e-06,2.4,-0.8
382,-8.680000000000002e-06,2.4,-0.64
383,-8.67e-06,2.48,-0.72
384,-8.66e-06,2.4,-0.72
385,-8.65e-06,2.4,-0.72
386,-8.64e-06,2.56,-0.72
387,-8.63e-06,2.48,-0.64
388,-8.62e-06,2.32,-0.64
389,-8.61e-06,2.4,-0.64
390,-8.6e-06,2.4,-0.56
391,-8.59e-06,2.48,-0.56
392,-8.580000000000001e-06,2.4,-0.64
393,-8.570000000000001e-06,2.4,-0.64
394,-8.56e-06,2.48,-0.64
395,-8.550000000000001e-06,2.48,-0.56
396,-8.54e-06,2.48,-0.48
397,-8.530000000000001e-06,2.4,-0.56
398,-8.52e-06,2.48,-0.48
399,-8.510000000000002e-06,2.48,-0.48
400,-8.5e-06,2.48,-0.48
401,-8.490000000000002e-06,2.4,-0.48
402,-8.48e-06,2.48,-0.48
403,-8.47e-06,2.48,-0.48
404,-8.46e-06,2.48,-0.48
405,-8.45e-06,2.56,-0.48
406,-8.44e-06,2.48,-0.56
407,-8.43e-06,2.4,-0.48
408,-8.42e-06,2.48,-0.48
409,-8.41e-06,2.4,-0.48
410,-8.400000000000001e-06,2.48,-0.4
411,-8.39e-06,2.4,-0.48
412,-8.380000000000001e-06,2.4,-0.4
413,-8.37e-06,2.4,-0.4
414,-8.360000000000001e-06,2.4,-0.4
415,-8.35e-06,2.48,-0.4
416,-8.340000000000001e-06,2.4,-0.4
417,-8.33e-06,2.4,-0.32
418,-8.320000000000002e-06,2.48,-0.4
419,-8.31e-06,2.48,-0.4
420,-8.3e-06,2.4,-0.4
421,-8.29e-06,2.48,-0.32
422,-8.28e-06,2.48,-0.32
423,-8.27e-06,2.4,-0.32
424,-8.26e-06,2.48,-0.4
425,-8.25e-06,2.48,-0.32
426,-8.24e-06,2.56,-0.32
427,-8.23e-06,2.48,-0.24
428,-8.220000000000001e-06,2.48,-0.24
429,-8.210000000000001e-06,2.48,-0.24
430,-8.2e-06,2.4,-0.24
431,-8.190000000000001e-06,2.48,-0.24
432,-8.18e-06,2.4,-0.24
433,-8.170000000000001e-06,2.48,-0.24
434,-8.16e-06,2.48,-0.32
435,-8.150000000000002e-06,2.48,-0.24
436,-8.14e-06,2.4,-0.16
437,-8.13e-06,2.48,-0.24
438,-8.12e-06,2.4,-0.24
439,-8.11e-06,2.4,-0.08
440,-8.1e-06,2.4,-0.24
441,-8.09e-06,2.4,-0.16
442,-8.08e-06,2.4,-0.24
443,-8.07e-06,2.4,-0.16
444,-8.06e-06,2.48,-0.08
445,-8.050000000000001e-06,2.48,-0.16
446,-8.040000000000001e-06,2.4,-0.16
447,-8.03e-06,2.4,-0.16
448,-8.020000000000001e-06,2.4,-0.08
449,-8.01e-06,2.4,-0.08
450,-8.000000000000001e-06,2.4,0.0
451,-7.99e-06,2.4,0.0
452,-7.980000000000002e-06,2.48,-0.08
453,-7.97e-06,2.32,-0.16
454,-7.960000000000002e-06,2.48,0.0
455,-7.95e-06,2.4,0.0
456,-7.94e-06,2.32,0.0
457,-7.93e-06,2.4,0.0
458,-7.92e-06,2.4,0.08
459,-7.91e-06,2.4,0.0
460,-7.9e-06,2.4,0.0
461,-7.89e-06,2.48,0.0
462,-7.88e-06,2.24,0.08
463,-7.870000000000001e-06,2.4,0.08
464,-7.86e-06,2.4,0.08
465,-7.850000000000001e-06,2.32,0.08
466,-7.84e-06,2.32,0.08
467,-7.830000000000001e-06,2.32,0.08
468,-7.82e-06,2.4,0.16
469,-7.810000000000001e-06,2.4,0.08
470,-7.8e-06,2.32,0.08
471,-7.790000000000002e-06,2.4,0.16
472,-7.78e-06,2.32,0.08
473,-7.77e-06,2.24,0.16
474,-7.76e-06,2.32,0.24
475,-7.75e-06,2.32,0.16
476,-7.74e-06,2.32,0.24
477,-7.73e-06,2.24,0.16
478,-7.72e-06,2.24,0.16
479,-7.71e-06,2.24,0.16
480,-7.7e-06,2.32,0.16
