,time,VCH1,VCH2
0,-5e-05,-1.44,-2.64
1,-4.996e-05,-1.52,-2.64
2,-4.992e-05,-1.44,-2.56
3,-4.9880000000000004e-05,-1.36,-2.56
4,-4.9840000000000004e-05,-1.44,-2.56
5,-4.9800000000000004e-05,-1.44,-2.48
6,-4.9760000000000005e-05,-1.44,-2.56
7,-4.9720000000000005e-05,-1.44,-2.64
8,-4.9680000000000005e-05,-1.36,-2.56
9,-4.964e-05,-1.36,-2.56
10,-4.96e-05,-1.44,-2.56
11,-4.956e-05,-1.36,-2.48
12,-4.952e-05,-1.36,-2.48
13,-4.948e-05,-1.28,-2.4
14,-4.944e-05,-1.36,-2.48
15,-4.94e-05,-1.28,-2.4
16,-4.936e-05,-1.36,-2.48
17,-4.932e-05,-1.44,-2.32
18,-4.928e-05,-1.28,-2.48
19,-4.924e-05,-1.2,-2.32
20,-4.92e-05,-1.2,-2.24
21,-4.9160000000000004e-05,-1.2,-2.16
22,-4.9120000000000004e-05,-1.2,-2.24
23,-4.9080000000000004e-05,-1.2,-2.24
24,-4.9040000000000005e-05,-1.12,-2.24
25,-4.9000000000000005e-05,-1.2,-2.32
26,-4.8960000000000006e-05,-1.2,-2.24
27,-4.892e-05,-1.12,-2.16
28,-4.888e-05,-1.12,-2.24
29,-4.884e-05,-1.2,-2.16
30,-4.88e-05,-1.04,-2.16
31,-4.876e-05,-1.04,-2.24
32,-4.872e-05,-1.04,-2.08
33,-4.868e-05,-0.96,-2.16
34,-4.864e-05,-1.04,-2.16
35,-4.86e-05,-1.12,-2.08
36,-4.856e-05,-1.04,-2.16
37,-4.852e-05,-1.04,-2.16
38,-4.8480000000000003e-05,-1.04,-2.08
39,-4.8440000000000004e-05,-0.96,-2.08
40,-4.8400000000000004e-05,-0.96,-2.08
41,-4.8360000000000005e-05,-1.04,-2.08
42,-4.8320000000000005e-05,-0.88,-2.08
43,-4.8280000000000005e-05,-0.96,-2.08
44,-4.824e-05,-0.96,-2.0
45,-4.82e-05,-0.88,-2.0
46,-4.816e-05,-0.88,-2.0
47,-4.812e-05,-0.96,-2.0
48,-4.808e-05,-0.88,-2.0
49,-4.804e-05,-0.96,-1.92
50,-4.8e-05,-0.88,-1.84
51,-4.796e-05,-0.8,-1.76
52,-4.792e-05,-0.72,-1.92
53,-4.788e-05,-0.8,-1.84
54,-4.784e-05,-0.8,-1.92
55,-4.78e-05,-0.88,-1.68
56,-4.7760000000000004e-05,-0.72,-1.84
57,-4.7720000000000004e-05,-0.72,-1.76
58,-4.7680000000000004e-05,-0.64,-1.76
59,-4.7640000000000005e-05,-0.72,-1.68
60,-4.7600000000000005e-05,-0.56,-1.84
61,-4.7560000000000005e-05,-0.72,-1.6
62,-4.7520000000000006e-05,-0.64,-1.68
63,-4.748e-05,-0.72,-1.68
64,-4.744e-05,-0.64,-1.68
65,-4.74e-05,-0.56,-1.6
66,-4.736e-05,-0.56,-1.68
67,-4.732e-05,-0.64,-1.52
