,time,VCH1,VCH2
0,-2.5e-05,1.76,0.08
1,-2.498e-05,1.76,0.16
2,-2.496e-05,1.84,0.16
3,-2.4940000000000002e-05,1.68,0.24
4,-2.4920000000000002e-05,1.76,0.08
5,-2.4900000000000002e-05,1.68,0.16
6,-2.4880000000000002e-05,1.76,0.16
7,-2.4860000000000003e-05,1.76,0.16
8,-2.4840000000000003e-05,1.68,0.16
9,-2.482e-05,1.68,0.16
10,-2.48e-05,1.68,0.16
11,-2.478e-05,1.68,0.24
12,-2.476e-05,1.76,0.16
13,-2.474e-05,1.68,0.16
14,-2.472e-05,1.52,0.24
15,-2.47e-05,1.68,0.24
16,-2.468e-05,1.6,0.24
17,-2.466e-05,1.6,0.24
18,-2.464e-05,1.6,0.24
19,-2.462e-05,1.6,0.16
20,-2.46e-05,1.6,0.24
21,-2.4580000000000002e-05,1.6,0.24
22,-2.4560000000000002e-05,1.52,0.16
23,-2.4540000000000002e-05,1.6,0.24
24,-2.4520000000000002e-05,1.52,0.16
25,-2.4500000000000003e-05,1.52,0.24
26,-2.4480000000000003e-05,1.44,0.24
27,-2.446e-05,1.52,0.08
28,-2.444e-05,1.44,0.16
29,-2.442e-05,1.52,0.16
30,-2.44e-05,1.52,0.16
31,-2.438e-05,1.44,0.24
32,-2.436e-05,1.44,0.24
33,-2.434e-05,1.52,0.24
34,-2.432e-05,1.44,0.24
35,-2.43e-05,1.44,0.24
36,-2.428e-05,1.44,0.24
37,-2.426e-05,1.36,0.24
38,-2.4240000000000002e-05,1.28,0.24
39,-2.4220000000000002e-05,1.44,0.16
40,-2.4200000000000002e-05,1.36,0.24
41,-2.4180000000000002e-05,1.36,0.16
42,-2.4160000000000002e-05,1.36,0.16
43,-2.4140000000000003e-05,1.28,0.24
44,-2.412e-05,1.36,0.16
45,-2.41e-05,1.28,0.16
46,-2.408e-05,1.28,0.16
47,-2.406e-05,1.28,0.16
48,-2.404e-05,1.36,0.08
49,-2.402e-05,1.28,0.16
50,-2.4e-05,1.28,0.24
51,-2.398e-05,1.28,0.24
52,-2.396e-05,1.2,0.24
53,-2.394e-05,1.2,0.16
54,-2.392e-05,1.28,0.24
55,-2.39e-05,1.12,0.16
56,-2.3880000000000002e-05,1.2,0.24
57,-2.3860000000000002e-05,1.2,0.08
58,-2.3840000000000002e-05,1.2,0.16
59,-2.3820000000000002e-05,1.12,0.16
60,-2.3800000000000003e-05,1.2,0.16
61,-2.3780000000000003e-05,1.2,0.24
62,-2.3760000000000003e-05,1.12,0.16
63,-2.374e-05,1.12,0.16
64,-2.372e-05,1.12,0.24
65,-2.37e-05,1.04,0.16
66,-2.368e-05,1.12,0.24
67,-2.366e-05,1.12,0.16
68,-2.364e-05,0.96,0.16
69,-2.362e-05,0.96,0.24
70,-2.36e-05,1.12,0.16
71,-2.358e-05,0.96,0.24
72,-2.356e-05,1.04,0.16
73,-2.354e-05,0.96,0.24
74,-2.3520000000000002e-05,1.04,0.24
75,-2.3500000000000002e-05,0.96,0.16
76,-2.3480000000000002e-05,0.96,0.16
77,-2.3460000000000002e-05,1.04,0.24
78,-2.3440000000000003e-05,0.96,0.16
79,-2.3420000000000003e-05,1.04,0.16
80,-2.34e-05,0.8,0.16
81,-2.338e-05,0.88,0.16
82,-2.336e-05,0.88,0.16
83,-2.334e-05,0.8,0.16
84,-2.332e-05,0.8,0.24
85,-2.33e-05,0.88,0.24
86,-2.328e-05,0.88,0.16
87,-2.326e-05,0.8,0.16
88,-2.324e-05,0.8,0.24
89,-2.322e-05,0.88,0.08
90,-2.32e-05,0.8,0.16
91,-2.318e-05,0.8,0.24
92,-2.3160000000000002e-05,0.72,0.24
93,-2.3140000000000002e-05,0.72,0.16
94,-2.3120000000000002e-05,0.8,0.16
95,-2.3100000000000002e-05,0.72,0.16
96,-2.3080000000000003e-05,0.72,0.16
97,-2.306e-05,0.8,0.16
98,-2.3040000000000003e-05,0.64,0.16
99,-2.302e-05,0.64,0.16
100,-2.3e-05,0.72,0.08
101,-2.298e-05,0.72,0.16
102,-2.296e-05,0.56,0.24
103,-2.294e-05,0.72,0.16
104,-2.292e-05,0.64,0.24
105,-2.29e-05,0.64,0.16
106,-2.288e-05,0.64,0.16
107,-2.286e-05,0.72,0.16
108,-2.284e-05,0.64,0.16
109,-2.2820000000000002e-05,0.64,0.32
110,-2.2800000000000002e-05,0.56,0.16
111,-2.2780000000000002e-05,0.56,0.16
112,-2.2760000000000002e-05,0.56,0.16
113,-2.2740000000000003e-05,0.56,0.08
114,-2.272e-05,0.48,0.16
115,-2.2700000000000003e-05,0.4,0.16
116,-2.268e-05,0.48,0.24
117,-2.266e-05,0.48,0.24
118,-2.264e-05,0.4,0.16
119,-2.262e-05,0.48,0.16
120,-2.26e-05,0.48,0.16
121,-2.258e-05,0.4,0.16
122,-2.256e-05,0.4,0.16
123,-2.254e-05,0.48,0.16
124,-2.252e-05,0.4,0.16
125,-2.25e-05,0.32,0.08
126,-2.248e-05,0.24,0.16
127,-2.2460000000000002e-05,0.4,0.16
128,-2.2440000000000002e-05,0.24,0.16
129,-2.2420000000000002e-05,0.32,0.16
130,-2.2400000000000002e-05,0.32,0.16
131,-2.2380000000000003e-05,0.24,0.16
132,-2.2360000000000003e-05,0.4,0.24
133,-2.234e-05,0.24,0.16
134,-2.232e-05,0.32,0.16
135,-2.23e-05,0.16,0.16
136,-2.228e-05,0.24,0.08
137,-2.226e-05,0.24,0.16
138,-2.224e-05,0.24,0.16
